f1 name,f1 xp,f1 height,f1 weight,f1 reach,f1 stance,f1 age,f1 sig str lpm,f1 sig str acc,f1 sig str abs,f1 sig str def,f1 td avg,f1 td acc,f1 td def,f1 sub avg,Result,f2 name,f2 xp,f2 height,f2 weight,f2 reach,f2 stance,f2 age,f2 sig str lpm,f2 sig str acc,f2 sig str abs,f2 sig str def,f2 td avg,f2 td acc,f2 td def,f2 sub avg,Result
Marina Rodriguez,14-1-2,"5' 6""",115,65,Orthodox,34,4.89,48%,3.24,54%,0.28,33%,62%,0.1,1,Michelle Waterson,18-9-0,"5' 3""",115,62,Orthodox,35,3.57,48%,4.13,50%,1.4,32%,67%,0.8,0
Alex Morono,19-7-0,"5' 11""",170,72,Orthodox,31,5.05,42%,3.69,56%,0.43,25%,52%,0.4,1,Donald Cerrone,36-16-0 (2 NC),"6' 1""",170,73,Orthodox,38,4.43,46%,4.49,53%,1.18,33%,74%,1.2,0
Neil Magny,25-9-0,"6' 3""",170,80,Orthodox,34,3.67,46%,2.06,56%,2.44,42%,57%,0.3,1,Geoff Neal,13-4-0,"5' 11""",170,75,Southpaw,31,4.42,48%,4.68,62%,0.6,50%,87%,0.2,0
Marcos Rogerio de Lima,18-8-1,"6' 1""",253,75,Orthodox,36,3.24,54%,2.11,53%,1.14,66%,43%,0.6,1,Maurice Greene,9-7-0,"6' 7""",258,80,Orthodox,35,3.28,45%,3.61,45%,0,0%,27%,0.4,0
Gregor Gillespie,14-1-0,"5' 7""",155,71,Orthodox,35,3.74,52%,2.3,57%,6.86,48%,100%,0.8,1,Diego Ferreira,17-4-0,"5' 9""",155,74,Orthodox,36,4.7,37%,3.38,56%,0.81,24%,66%,0.8,0
Phil Hawes,11-2-0,"6' 0""",185,77,Orthodox,32,3.44,58%,3.29,52%,2.7,38%,100%,0.4,1,Kyle Daukaus,10-2-0,"6' 3""",185,76,Southpaw,28,3.23,53%,2.72,39%,1.75,29%,85%,1.2,0
Michael Trizano,10-1-0,"5' 11""",145,71,Orthodox,30,3.22,53%,2.36,58%,0.29,50%,71%,0.9,1,Ludovit Klein,17-3-0,"5' 7""",145,72,Southpaw,26,3.32,54%,3.69,45%,3.69,57%,0%,0,0
Junyong Park,13-4-0,"5' 10""",185,73,Orthodox,30,4.37,47%,3.17,58%,3.02,57%,46%,0.6,1,Tafon Nchukwi,5-1-0,"6' 0""",205,77,Orthodox,27,6.08,51%,4.48,51%,0.41,25%,66%,0,0
Carlston Harris,16-4-0,"6' 0""",170,76,Orthodox,34,1.74,38%,0.35,90%,0,0%,100%,5.2,1,Christian Aguilera,14-8-0,"5' 9""",170,72,Switch,30,2.54,37%,4.04,48%,0,0%,60%,0,0
